CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 291.972656 1713692163.6908
MEM 293.261719 1713692163.7910
MEM 314.402344 1713692163.8912
MEM 305.250000 1713692163.9915
MEM 306.539062 1713692164.0917
MEM 307.828125 1713692164.1919
MEM 308.601562 1713692164.2921
MEM 309.890625 1713692164.3923
MEM 311.179688 1713692164.4925
MEM 311.695312 1713692164.5927
MEM 312.984375 1713692164.6929
MEM 314.531250 1713692164.7931
MEM 315.046875 1713692164.8933
MEM 316.335938 1713692164.9935
MEM 317.882812 1713692165.0943
MEM 319.171875 1713692165.1945
MEM 319.687500 1713692165.2947
MEM 319.687500 1713692165.3949
MEM 320.976562 1713692165.4951
MEM 322.523438 1713692165.5952
MEM 323.039062 1713692165.6954
MEM 324.328125 1713692165.7956
MEM 325.617188 1713692165.8958
MEM 326.906250 1713692165.9960
MEM 327.679688 1713692166.0963
MEM 328.968750 1713692166.1965
MEM 330.000000 1713692166.2967
MEM 331.031250 1713692166.3969
MEM 332.062500 1713692166.4971
MEM 333.093750 1713692166.5973
MEM 333.867188 1713692166.6975
MEM 335.156250 1713692166.7977
MEM 335.671875 1713692166.8979
MEM 337.218750 1713692166.9982
MEM 338.507812 1713692167.0984
MEM 339.796875 1713692167.1986
MEM 340.312500 1713692167.2988
MEM 341.601562 1713692167.3990
MEM 342.890625 1713692167.4992
MEM 343.921875 1713692167.5994
MEM 344.953125 1713692167.6996
MEM 345.984375 1713692167.7997
MEM 346.757812 1713692167.8999
MEM 348.562500 1713692168.0001
MEM 348.820312 1713692168.1004
MEM 350.109375 1713692168.2006
MEM 350.882812 1713692168.3008
MEM 351.914062 1713692168.4010
MEM 353.460938 1713692168.5012
MEM 354.234375 1713692168.6014
MEM 355.265625 1713692168.7016
MEM 356.554688 1713692168.8018
MEM 357.585938 1713692168.9020
MEM 358.101562 1713692169.0022
MEM 359.390625 1713692169.1025
MEM 360.164062 1713692169.2027
MEM 361.453125 1713692169.3029
MEM 363.000000 1713692169.4031
MEM 363.773438 1713692169.5033
MEM 364.804688 1713692169.6036
MEM 366.093750 1713692169.7038
MEM 366.609375 1713692169.8040
MEM 367.898438 1713692169.9042
MEM 368.671875 1713692170.0044
MEM 368.671875 1713692170.1047
MEM 369.445312 1713692170.2049
MEM 370.734375 1713692170.3051
MEM 371.507812 1713692170.4053
MEM 372.796875 1713692170.5055
MEM 374.085938 1713692170.6057
MEM 374.859375 1713692170.7059
MEM 376.148438 1713692170.8061
MEM 377.179688 1713692170.9063
MEM 377.953125 1713692171.0065
MEM 378.984375 1713692171.1067
MEM 380.531250 1713692171.2069
MEM 381.562500 1713692171.3072
MEM 382.593750 1713692171.4074
MEM 383.625000 1713692171.5076
MEM 384.914062 1713692171.6078
MEM 385.945312 1713692171.7080
MEM 386.718750 1713692171.8082
MEM 387.492188 1713692171.9084
MEM 388.523438 1713692172.0086
MEM 389.812500 1713692172.1088
MEM 390.585938 1713692172.2090
MEM 391.617188 1713692172.3092
MEM 393.164062 1713692172.4094
MEM 393.937500 1713692172.5096
MEM 394.968750 1713692172.6098
MEM 396.257812 1713692172.7100
MEM 396.515625 1713692172.8102
MEM 397.804688 1713692172.9104
MEM 398.835938 1713692173.0106
MEM 399.609375 1713692173.1108
MEM 400.382812 1713692173.2111
MEM 401.156250 1713692173.3113
MEM 402.187500 1713692173.4116
MEM 403.218750 1713692173.5118
MEM 404.507812 1713692173.6120
MEM 405.281250 1713692173.7122
MEM 406.570312 1713692173.8124
MEM 407.085938 1713692173.9126
MEM 407.859375 1713692174.0128
MEM 409.148438 1713692174.1130
MEM 410.437500 1713692174.2132
MEM 411.210938 1713692174.3135
MEM 412.500000 1713692174.4137
MEM 413.531250 1713692174.5140
MEM 414.562500 1713692174.6142
MEM 415.335938 1713692174.7145
MEM 416.882812 1713692174.8148
MEM 417.398438 1713692174.9150
MEM 418.687500 1713692175.0152
MEM 419.976562 1713692175.1154
MEM 420.234375 1713692175.2157
MEM 421.523438 1713692175.3159
MEM 421.781250 1713692175.4161
MEM 423.070312 1713692175.5164
MEM 423.843750 1713692175.6166
MEM 424.875000 1713692175.7168
MEM 426.421875 1713692175.8170
MEM 426.937500 1713692175.9172
MEM 428.226562 1713692176.0174
MEM 428.742188 1713692176.1176
MEM 429.773438 1713692176.2178
MEM 430.546875 1713692176.3181
MEM 430.804688 1713692176.4183
MEM 431.062500 1713692176.5185
MEM 432.093750 1713692176.6187
MEM 433.125000 1713692176.7189
MEM 434.414062 1713692176.8191
MEM 435.187500 1713692176.9193
MEM 436.476562 1713692177.0195
MEM 437.765625 1713692177.1198
MEM 439.312500 1713692177.2200
MEM 459.746094 1713692177.3202
MEM 461.035156 1713692177.4204
MEM 462.324219 1713692177.5206
MEM 463.097656 1713692177.6208
MEM 464.386719 1713692177.7211
MEM 465.675781 1713692177.8213
MEM 466.191406 1713692177.9215
MEM 467.738281 1713692178.0217
MEM 468.769531 1713692178.1220
MEM 469.542969 1713692178.2222
MEM 470.832031 1713692178.3224
MEM 472.121094 1713692178.4226
MEM 473.152344 1713692178.5228
MEM 473.925781 1713692178.6230
MEM 475.472656 1713692178.7232
MEM 475.988281 1713692178.8235
MEM 477.277344 1713692178.9237
MEM 478.566406 1713692179.0239
MEM 479.339844 1713692179.1241
MEM 480.628906 1713692179.2244
MEM 481.917969 1713692179.3246
MEM 483.464844 1713692179.4248
MEM 483.980469 1713692179.5250
MEM 485.269531 1713692179.6252
MEM 486.558594 1713692179.7254
MEM 487.589844 1713692179.8256
MEM 488.621094 1713692179.9259
MEM 489.910156 1713692180.0261
MEM 490.683594 1713692180.1263
MEM 491.972656 1713692180.2265
MEM 493.261719 1713692180.3267
MEM 494.035156 1713692180.4270
MEM 495.324219 1713692180.5272
MEM 496.613281 1713692180.6275
MEM 498.160156 1713692180.7277
MEM 498.933594 1713692180.8279
MEM 499.964844 1713692180.9281
MEM 501.511719 1713692181.0284
MEM 502.800781 1713692181.1286
MEM 503.574219 1713692181.2288
MEM 504.863281 1713692181.3290
MEM 506.152344 1713692181.4293
MEM 507.699219 1713692181.5295
MEM 507.957031 1713692181.6297
MEM 509.246094 1713692181.7299
MEM 510.019531 1713692181.8302
MEM 511.050781 1713692181.9304
MEM 512.597656 1713692182.0306
MEM 513.886719 1713692182.1308
MEM 514.402344 1713692182.2310
MEM 515.949219 1713692182.3312
MEM 517.753906 1713692182.4314
MEM 518.011719 1713692182.5317
MEM 518.785156 1713692182.6319
MEM 519.816406 1713692182.7321
MEM 521.105469 1713692182.8323
MEM 522.652344 1713692182.9325
MEM 522.910156 1713692183.0328
MEM 524.457031 1713692183.1330
MEM 525.746094 1713692183.2332
MEM 526.519531 1713692183.3334
MEM 527.550781 1713692183.4336
MEM 528.839844 1713692183.5339
