CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 534.761719 1713688803.7874
MEM 536.308594 1713688803.8876
MEM 537.855469 1713688803.9878
MEM 539.402344 1713688804.0881
MEM 540.433594 1713688804.1889
MEM 541.722656 1713688804.2891
MEM 543.269531 1713688804.3893
MEM 545.332031 1713688804.4895
MEM 546.621094 1713688804.5897
MEM 547.652344 1713688804.6899
MEM 549.199219 1713688804.7901
MEM 550.746094 1713688804.8903
MEM 552.292969 1713688804.9905
MEM 553.839844 1713688805.0908
MEM 554.613281 1713688805.1910
MEM 556.160156 1713688805.2912
MEM 557.191406 1713688805.3914
MEM 557.191406 1713688805.4916
MEM 557.191406 1713688805.5918
MEM 558.222656 1713688805.6920
MEM 559.511719 1713688805.7922
MEM 561.058594 1713688805.8924
MEM 562.605469 1713688805.9926
MEM 564.152344 1713688806.0928
MEM 565.441406 1713688806.1930
MEM 566.472656 1713688806.2932
MEM 568.019531 1713688806.3934
MEM 569.824219 1713688806.4936
MEM 571.371094 1713688806.5938
MEM 572.660156 1713688806.6941
MEM 573.691406 1713688806.7943
MEM 575.238281 1713688806.8945
MEM 576.785156 1713688806.9947
MEM 578.332031 1713688807.0949
MEM 579.621094 1713688807.1951
MEM 580.652344 1713688807.2953
MEM 582.199219 1713688807.3955
MEM 583.746094 1713688807.4957
MEM 585.292969 1713688807.5959
MEM 586.839844 1713688807.6961
MEM 587.613281 1713688807.7964
MEM 589.160156 1713688807.8966
MEM 590.707031 1713688807.9968
MEM 592.253906 1713688808.0970
MEM 593.800781 1713688808.1972
MEM 594.832031 1713688808.2974
MEM 596.636719 1713688808.3976
MEM 598.183594 1713688808.4979
MEM 599.730469 1713688808.5981
MEM 601.019531 1713688808.6983
MEM 602.050781 1713688808.7985
MEM 603.597656 1713688808.8987
MEM 605.144531 1713688808.9989
MEM 606.691406 1713688809.0991
MEM 608.238281 1713688809.1993
MEM 609.269531 1713688809.2995
MEM 610.558594 1713688809.3998
MEM 612.105469 1713688809.5000
MEM 613.910156 1713688809.6002
MEM 615.457031 1713688809.7004
MEM 616.488281 1713688809.8006
MEM 617.777344 1713688809.9008
MEM 619.066406 1713688810.0010
MEM 620.613281 1713688810.1012
MEM 622.160156 1713688810.2014
MEM 623.449219 1713688810.3017
MEM 624.738281 1713688810.4019
MEM 626.027344 1713688810.5021
MEM 627.574219 1713688810.6023
MEM 629.121094 1713688810.7025
MEM 630.667969 1713688810.8027
MEM 631.699219 1713688810.9029
MEM 632.988281 1713688811.0031
MEM 634.535156 1713688811.1033
MEM 636.082031 1713688811.2035
MEM 637.628906 1713688811.3037
MEM 639.175781 1713688811.4039
MEM 640.722656 1713688811.5041
MEM 642.011719 1713688811.6043
MEM 643.042969 1713688811.7045
MEM 644.589844 1713688811.8047
MEM 646.136719 1713688811.9049
MEM 647.683594 1713688812.0051
MEM 649.230469 1713688812.1053
MEM 650.261719 1713688812.2055
MEM 651.550781 1713688812.3057
MEM 653.097656 1713688812.4059
MEM 654.644531 1713688812.5061
MEM 656.191406 1713688812.6063
MEM 657.222656 1713688812.7065
MEM 658.511719 1713688812.8067
MEM 660.058594 1713688812.9069
MEM 661.605469 1713688813.0071
MEM 662.636719 1713688813.1073
MEM 662.636719 1713688813.2075
MEM 662.636719 1713688813.3077
MEM 663.152344 1713688813.4079
MEM 663.925781 1713688813.5081
MEM 665.472656 1713688813.6083
MEM 667.019531 1713688813.7085
MEM 668.566406 1713688813.8087
MEM 670.113281 1713688813.9089
MEM 671.144531 1713688814.0091
MEM 672.433594 1713688814.1094
MEM 673.722656 1713688814.2096
MEM 675.269531 1713688814.3098
MEM 676.816406 1713688814.4100
MEM 678.105469 1713688814.5102
MEM 679.136719 1713688814.6104
MEM 680.683594 1713688814.7106
MEM 682.230469 1713688814.8109
MEM 683.777344 1713688814.9111
MEM 685.324219 1713688815.0113
MEM 686.871094 1713688815.1115
MEM 687.902344 1713688815.2117
MEM 689.191406 1713688815.3119
MEM 690.738281 1713688815.4121
MEM 692.285156 1713688815.5123
MEM 693.832031 1713688815.6125
MEM 695.121094 1713688815.7127
MEM 696.152344 1713688815.8128
MEM 697.699219 1713688815.9130
MEM 699.246094 1713688816.0132
MEM 700.792969 1713688816.1134
MEM 702.339844 1713688816.2136
MEM 703.113281 1713688816.3138
MEM 704.402344 1713688816.4140
MEM 705.949219 1713688816.5142
MEM 707.496094 1713688816.6144
MEM 709.042969 1713688816.7146
MEM 710.074219 1713688816.8148
MEM 711.363281 1713688816.9150
MEM 712.910156 1713688817.0153
MEM 714.457031 1713688817.1155
MEM 716.261719 1713688817.2157
MEM 717.292969 1713688817.3159
MEM 718.582031 1713688817.4161
