CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 349.589844 1713692230.1500
MEM 350.621094 1713692230.2502
MEM 351.394531 1713692230.3504
MEM 352.425781 1713692230.4506
MEM 353.457031 1713692230.5508
MEM 354.488281 1713692230.6510
MEM 355.519531 1713692230.7512
MEM 356.550781 1713692230.8514
MEM 357.324219 1713692230.9516
MEM 358.613281 1713692231.0518
MEM 359.386719 1713692231.1520
MEM 360.417969 1713692231.2522
MEM 361.707031 1713692231.3524
MEM 362.480469 1713692231.4526
MEM 363.511719 1713692231.5528
MEM 364.542969 1713692231.6530
MEM 365.316406 1713692231.7532
MEM 366.605469 1713692231.8534
MEM 367.378906 1713692231.9536
MEM 368.410156 1713692232.0538
MEM 369.441406 1713692232.1540
MEM 369.441406 1713692232.2542
MEM 369.957031 1713692232.3544
MEM 370.730469 1713692232.4546
MEM 371.761719 1713692232.5548
MEM 373.050781 1713692232.6550
MEM 373.824219 1713692232.7552
MEM 374.855469 1713692232.8554
MEM 375.886719 1713692232.9556
MEM 376.660156 1713692233.0558
MEM 377.949219 1713692233.1560
MEM 378.722656 1713692233.2562
MEM 379.753906 1713692233.3564
MEM 381.042969 1713692233.4566
MEM 381.816406 1713692233.5568
MEM 382.847656 1713692233.6570
MEM 384.136719 1713692233.7573
MEM 384.652344 1713692233.8575
MEM 385.941406 1713692233.9577
MEM 386.972656 1713692234.0579
MEM 387.746094 1713692234.1581
MEM 388.777344 1713692234.2584
MEM 389.292969 1713692234.3587
MEM 390.324219 1713692234.4590
MEM 390.839844 1713692234.5592
MEM 392.128906 1713692234.6594
MEM 392.644531 1713692234.7596
MEM 393.933594 1713692234.8598
MEM 394.707031 1713692234.9600
MEM 395.738281 1713692235.0602
MEM 397.027344 1713692235.1604
MEM 397.800781 1713692235.2606
MEM 398.832031 1713692235.3608
MEM 400.121094 1713692235.4610
MEM 400.636719 1713692235.5612
MEM 401.925781 1713692235.6613
MEM 402.957031 1713692235.7615
MEM 403.730469 1713692235.8617
MEM 405.019531 1713692235.9619
MEM 405.792969 1713692236.0621
MEM 407.082031 1713692236.1622
MEM 408.113281 1713692236.2624
MEM 409.402344 1713692236.3626
MEM 409.917969 1713692236.4628
MEM 411.207031 1713692236.5630
MEM 412.238281 1713692236.6632
MEM 413.011719 1713692236.7634
MEM 414.300781 1713692236.8636
MEM 415.074219 1713692236.9637
MEM 416.105469 1713692237.0640
MEM 417.394531 1713692237.1641
MEM 417.910156 1713692237.2644
MEM 419.199219 1713692237.3646
MEM 420.230469 1713692237.4648
MEM 421.003906 1713692237.5650
MEM 422.292969 1713692237.6652
MEM 423.066406 1713692237.7654
MEM 424.097656 1713692237.8655
MEM 425.386719 1713692237.9657
MEM 425.902344 1713692238.0659
MEM 427.191406 1713692238.1661
MEM 428.222656 1713692238.2663
MEM 429.253906 1713692238.3667
MEM 430.542969 1713692238.4669
MEM 431.058594 1713692238.5672
MEM 431.316406 1713692238.6675
MEM 431.316406 1713692238.7678
MEM 432.347656 1713692238.8680
MEM 433.378906 1713692238.9683
MEM 434.152344 1713692239.0686
MEM 435.183594 1713692239.1689
MEM 436.214844 1713692239.2691
MEM 437.246094 1713692239.3693
MEM 438.535156 1713692239.4695
MEM 439.050781 1713692239.5697
MEM 460.167969 1713692239.6699
MEM 460.937500 1713692239.7701
MEM 461.968750 1713692239.8703
MEM 463.257812 1713692239.9705
MEM 463.773438 1713692240.0707
MEM 465.062500 1713692240.1709
MEM 466.093750 1713692240.2711
MEM 466.867188 1713692240.3713
MEM 468.156250 1713692240.4715
MEM 468.929688 1713692240.5718
MEM 469.960938 1713692240.6720
MEM 471.250000 1713692240.7722
MEM 472.023438 1713692240.8724
MEM 473.054688 1713692240.9726
MEM 474.343750 1713692241.0728
MEM 475.117188 1713692241.1730
MEM 476.406250 1713692241.2732
MEM 477.179688 1713692241.3734
MEM 478.210938 1713692241.4736
MEM 479.500000 1713692241.5738
MEM 480.015625 1713692241.6740
MEM 481.304688 1713692241.7742
MEM 482.335938 1713692241.8744
MEM 483.109375 1713692241.9746
MEM 484.398438 1713692242.0748
MEM 485.171875 1713692242.1750
MEM 486.203125 1713692242.2752
MEM 487.492188 1713692242.3754
MEM 488.265625 1713692242.4756
MEM 489.554688 1713692242.5757
MEM 490.585938 1713692242.6759
MEM 491.359375 1713692242.7762
MEM 492.648438 1713692242.8764
MEM 493.421875 1713692242.9766
MEM 494.453125 1713692243.0768
MEM 495.742188 1713692243.1770
MEM 496.515625 1713692243.2772
MEM 497.546875 1713692243.3774
MEM 498.835938 1713692243.4776
MEM 499.351562 1713692243.5778
MEM 500.640625 1713692243.6780
MEM 501.671875 1713692243.7782
MEM 502.445312 1713692243.8784
MEM 503.734375 1713692243.9785
MEM 504.507812 1713692244.0787
MEM 505.539062 1713692244.1789
MEM 506.828125 1713692244.2792
MEM 507.343750 1713692244.3793
MEM 508.632812 1713692244.4795
MEM 509.664062 1713692244.5797
MEM 510.437500 1713692244.6799
MEM 511.726562 1713692244.7801
MEM 512.500000 1713692244.8803
MEM 513.531250 1713692244.9806
MEM 514.820312 1713692245.0808
MEM 515.593750 1713692245.1810
MEM 516.625000 1713692245.2812
MEM 517.914062 1713692245.3814
MEM 518.945312 1713692245.4816
MEM 520.234375 1713692245.5818
MEM 520.750000 1713692245.6820
MEM 522.039062 1713692245.7821
MEM 523.070312 1713692245.8824
MEM 523.843750 1713692245.9826
MEM 525.132812 1713692246.0828
MEM 525.906250 1713692246.1830
MEM 526.937500 1713692246.2832
MEM 528.226562 1713692246.3835
MEM 528.742188 1713692246.4837
MEM 529.773438 1713692246.5839
MEM 529.773438 1713692246.6842
MEM 529.773438 1713692246.7844
MEM 530.289062 1713692246.8846
MEM 531.578125 1713692246.9849
MEM 532.351562 1713692247.0851
MEM 533.382812 1713692247.1853
MEM 534.671875 1713692247.2854
MEM 535.187500 1713692247.3856
MEM 536.476562 1713692247.4858
MEM 537.507812 1713692247.5860
MEM 538.281250 1713692247.6862
MEM 539.570312 1713692247.7864
MEM 540.343750 1713692247.8865
MEM 541.632812 1713692247.9867
MEM 542.664062 1713692248.0870
MEM 543.437500 1713692248.1871
MEM 544.726562 1713692248.2873
MEM 545.500000 1713692248.3875
MEM 546.531250 1713692248.4877
MEM 547.562500 1713692248.5879
MEM 548.335938 1713692248.6881
MEM 549.367188 1713692248.7883
MEM 550.656250 1713692248.8885
MEM 551.429688 1713692248.9887
MEM 552.460938 1713692249.0889
MEM 553.492188 1713692249.1891
MEM 554.265625 1713692249.2893
MEM 555.554688 1713692249.3895
MEM 556.328125 1713692249.4897
MEM 557.359375 1713692249.5899
MEM 558.648438 1713692249.6901
MEM 559.421875 1713692249.7903
MEM 560.453125 1713692249.8904
MEM 561.484375 1713692249.9906
MEM 562.257812 1713692250.0908
MEM 563.546875 1713692250.1910
MEM 564.320312 1713692250.2912
MEM 565.867188 1713692250.3914
MEM 566.640625 1713692250.4916
MEM 567.671875 1713692250.5917
MEM 568.960938 1713692250.6919
MEM 569.476562 1713692250.7921
MEM 570.765625 1713692250.8926
MEM 571.796875 1713692250.9928
MEM 572.570312 1713692251.0929
MEM 573.859375 1713692251.1931
MEM 574.632812 1713692251.2933
MEM 575.664062 1713692251.3935
MEM 576.953125 1713692251.4937
MEM 577.468750 1713692251.5938
MEM 578.757812 1713692251.6940
MEM 579.789062 1713692251.7942
MEM 580.820312 1713692251.8943
MEM 582.109375 1713692251.9945
MEM 582.625000 1713692252.0947
MEM 583.914062 1713692252.1949
MEM 584.945312 1713692252.2951
MEM 585.718750 1713692252.3953
MEM 587.007812 1713692252.4954
MEM 587.781250 1713692252.5956
MEM 588.812500 1713692252.6958
MEM 590.101562 1713692252.7959
MEM 590.617188 1713692252.8961
MEM 591.906250 1713692252.9963
MEM 592.937500 1713692253.0964
MEM 593.710938 1713692253.1967
MEM 594.742188 1713692253.2969
MEM 595.515625 1713692253.3971
MEM 596.546875 1713692253.4973
MEM 597.835938 1713692253.5975
MEM 598.609375 1713692253.6977
MEM 599.640625 1713692253.7980
MEM 600.671875 1713692253.8983
MEM 601.445312 1713692253.9985
MEM 602.734375 1713692254.0989
MEM 603.507812 1713692254.1991
MEM 604.796875 1713692254.2993
MEM 605.828125 1713692254.3995
MEM 607.117188 1713692254.4997
MEM 607.632812 1713692254.5999
MEM 608.921875 1713692254.7002
MEM 609.953125 1713692254.8004
MEM 610.726562 1713692254.9006
MEM 612.015625 1713692255.0008
MEM 612.789062 1713692255.1010
MEM 613.820312 1713692255.2012
MEM 615.109375 1713692255.3014
MEM 615.625000 1713692255.4016
MEM 616.914062 1713692255.5018
MEM 617.945312 1713692255.6020
